Date: 2026-01-15T09:52:36Z
Duration: 202m 52s

[00:00-00:00] Speaker 0:  Ну как ты?
[35:15-35:17] Speaker 9:  Денис Шевелюх сказал, вот как..
[35:17-35:20] Speaker 9:  Погнали в эту десятку, говорю, да у меня нет, в принципе, запроса.
[35:20-35:21] Speaker 9:  Хочешь, давай, в бринчторне?
[35:21-35:23] Speaker 9:  Он говорит, ну давай, вот, давай погнали.
[35:23-35:27] Speaker 9:  А тут теперь не денись они, то сори, что концепцию рушу, это все рушит.
[35:27-35:28] Speaker 9:  Но у меня сначала вообще не сошлось.
[35:28-35:31] Speaker 0:  Вообще не рушишь, мы для этого, Игорь, сегодня здесь.
[35:31-35:36] Speaker 0:  То есть, если мы сейчас не найдешь что-то полезное для тебя, то тебе отсюда совершенно не надо.
[35:36-35:45] Speaker 0:  То есть обрати внимание, если ты хочешь, например, вот этой энергии больше, вот тогда мы в сторону энергии поработаем, чтобы ты был более креативен, обычным в решении своих задач.
[35:45-35:46] Speaker 0:  Если в этом есть запрос.
[35:46-35:56] Speaker 0:  Если ты хочешь бренд-шторм на возможность большего количества решений, помимо того, что ты видишь внутри корпоративного рынка, где вот там 3000, там не знаю, 4000 человек, да?
[35:56-35:57] Speaker 0:  И ты можешь видеть альтернативы.
[35:57-36:00] Speaker 0:  Да, это второй потенциальный запрос.
[36:00-36:02] Speaker 0:  Третий запрос: а куда Игорь посмотрит в 26-м году?
[36:03-36:08] Speaker 0:  Вот я, например, тебя спрошу: вот мы уходимся с Игорем через год, в двадцать шестом, Игорь очень доволен своим прогрессом.
[36:08-36:09] Speaker 0:  Это что означает?
[36:12-36:28] Speaker 9:  ответили сейчас да у меня есть понимание при движении представляю конкретную область, где я буду дальше развиваться, конкретную мотивацию, в том числе финансовую, конкретную ролевую позицию, конкретную компанию.
[36:29-36:30] Speaker 9:  Ну когда есть.
[36:30-36:33] Speaker 0:  Что-то есть на пути, что будет сложно?
[36:33-36:35] Speaker 0:  У тебя может быть энергия.
[36:35-36:40] Speaker 0:  У тебя могут быть вот вопросы о том, что у тебя есть единственный маршрут, который ты любишь, будучи.
[36:41-37:10] Speaker 0:  элементам большого корпоративного рынка или ты хочешь видеть альтернативные дорожки людей которые совершенно по-разному мыслят то есть чтобы более эффективно к этой точке которую сейчас ты хорошо чувствуешь пройти есть какие-то нюансы которые для тебя могут быть ценные полезны Наверное, возвращение к этим двум запросам, энергии, и посмотреть, просто можно ли применить какие-то методики, которые применяют методику?
[37:10-37:14] Speaker 0:  Предприниматели и те, кто занимаются своим личным ростом персональным.
[37:14-37:19] Speaker 9:  Да, вот, например, история, что перехожу на персонарии, наверное, мы тут все свои.
[37:20-37:21] Speaker 9:  Андрей, мне понравился запрос.
[37:22-37:36] Speaker 9:  Прям вот я понимаю вот вот а вообще это тот ли путь вот я не упустил втупить через год два там может быть есть параллельный путь очень хороший причине вырасти Очень хороший пример, Игорь.
[37:36-37:40] Speaker 0:  Да, вот это как раз и есть, мы, вот Вани, мы именно для этого здесь и собираемся сейчас.
[37:40-37:43] Speaker 0:  Андрей говорит, а это тот ли путь вообще?
[37:42-37:48] Speaker 0:  Я, например, к своим большим амбициозным целям, расширяю сеть свои хорика, например, я дорасту.
[37:48-37:54] Speaker 0:  Вот, или, например, я то, как я это делаю сейчас, это приведет меня, или я хочу собраться и перенять вообще.
[37:54-37:57] Speaker 0:  Или мне надо подвинуться в своих амбициях.
[37:56-37:59] Speaker 0:  Или мне надо тогда вообще пересобраться в какую-то новую модель?
[37:59-38:00] Speaker 0:  Именно это сейчас Андрей запрашивает.
[38:00-38:03] Speaker 0:  Если я правильно понимаю, у тебя плюс-минус в эту же сторону запрос.
[38:04-38:13] Speaker 9:  Ну, скорее нет, потому что я, к счастью или, к сожалению, на данный момент я не мы сюда запросом финансовой мотивации.
[38:13-38:15] Speaker 9:  Само сомневаемся, где-то там есть.
[38:14-38:16] Speaker 9:  Я чувствую амбициозную мыстью задачи.
[38:17-38:20] Speaker 9:  Я вижу ту задачу, которая мне интересна, я хотел бы ее мешать.
[38:20-38:29] Speaker 9:  И вот отвечая на твой вопрос, я мыслю таким образом, что я не смотрю параллельные альтернативные пути или проблемы.
[38:29-38:33] Speaker 9:  Я вижу свою конкретную позицию, там, условно, через месяц, через два.
[38:34-38:38] Speaker 9:  И я, находясь в этой позиции, я себя моделирую решение тех же задач.
[38:38-38:44] Speaker 9:  Я себе в голове просто по приколу проигрываю сценарии, который я должен решать, делать, уже находясь в этой роли.
[38:45-38:50] Speaker 9:  Не знаю, я точно не знаю, что в этой роли, на этой позиции есть вот эта задача, а когда я ее решил?
[38:50-38:55] Speaker 9:  Но это игры разумы, не просто по приколу ее проиграть в голове. Мимолетно.
[38:55-39:01] Speaker 9:  В серии, я не занимаюсь переснов, вместо того, чтобы вспоминать там задачу завтрашнего дня, либо что проиграть что-то угодно, да?
[39:02-39:06] Speaker 9:  А вот там есть вот такая интересная заказчика, как бы она начала решать.
[39:06-39:11] Speaker 9:  Ну то есть, если начинаешь делать, там дальше все приложит, потому что есть экспертность.
[39:16-39:20] Speaker 0:  Значит, смотри, И что тебе сейчас встретится такой небольшой подарок?
[39:20-39:27] Speaker 0:  У тебя специальное отступление, ты за тогда у тебя видишь, что у него маленький контакт с То есть Денис тебе подсветил, но дальше пока не очень понятно, нужно ли это.
[39:27-39:30] Speaker 0:  Значит, я единственный у тебя владеет. Есть? Есть?
[39:30-39:31] Speaker 0:  Да, конечно.
[39:31-39:33] Speaker 0:  Запиши несколько фраз.
[39:35-39:41] Speaker 0:  И обратим внимание, это сейчас проявление работы в большой корпоративной структуре.
[39:41-39:43] Speaker 0:  Это отсутствие понятия я.
[39:47-39:50] Speaker 0:  Игорь, это нормальный для человека, который много работает.
[39:50-39:54] Speaker 0:  Сколько лет работаешь вот этих больших структурах? Всю жизнь.
[39:54-39:55] Speaker 0:  Тебе сейчас сколько лет?
[39:56-39:58] Speaker 0:  Тридцать девять, тридцать девять.
[39:58-40:09] Speaker 0:  Значит, обрати внимание, работая в больших крупных проводивных структурах невотнят понятия не так и не да и переслушав при том беседу, которую мы сейчас с тобой увеличи, и все время используешь термоэм ты.
[40:10-40:14] Speaker 0:  То есть ты сейчас, когда со мной разговариваешь, как будто проговаривал, как будто бы за ты.
[40:14-40:19] Speaker 0:  Ты заведуешь бизнес-единицей, ты фактически там и так далее за свой посок бизнеса.
[40:19-40:20] Speaker 0:  Мы тут все свои.
[40:20-40:22] Speaker 0:  Извиняюсь за и так далее.
[40:22-40:26] Speaker 0:  У тебя вот это вот понятие Игорь пока отсутствует вообще.
[40:27-40:29] Speaker 0:  А это моя специализация.
[40:29-40:30] Speaker 0:  Что это означает?
[40:30-40:36] Speaker 0:  Моя задача спросить Игоря, кто ты и что ты хочешь, обратить внимание вообще в отрывех корпоративных культур.
[40:37-40:50] Speaker 0:  Я, когда тебя спрашиваю из разряда, а что хочет Игорь, я не спрашиваю о позиции ты в компании и роль, которую ты торбуешь делать, а я спрашиваю, Игорь, через год счастливого, даже здесь и реализованного.
[40:50-40:52] Speaker 0:  И вот обрати внимание, это первое не про ты.
[40:52-40:55] Speaker 0:  Второе, это не я должен решать, находясь в этой роли.
[40:55-40:58] Speaker 0:  Вот с моей точки зрения, ты никогда ему ничего не должен.
[40:58-40:59] Speaker 0:  Ты полностью свободен.
[41:01-41:04] Speaker 0:  И дальше ты говоришь, и дальше все приложится, ничего не приложится.
[41:04-41:12] Speaker 0:  То есть, вот моя методика, которую я тебе сейчас аккуратненько подчасвечиваю, продавью, заключается в том, что я буду стоять на стороне игоря.
[41:12-41:23] Speaker 0:  А компания, инструментарий, с помощью которого Игорь станет богатым, здоровым, счастливым, реализованным свой уровень потенциала и амбиции нового воде, если стороны будет реализовывать.
[41:22-41:27] Speaker 0:  Обратите внимание, обращение фокусы внимания с компанией на Игоря.
[41:27-41:32] Speaker 0:  Если тебе эта тема хоть сколько-то интересно, мы с тобой в одной лодке, и я буду тебе во всем помогать.
[41:31-41:36] Speaker 0:  Если ты абсолютно сейчас растворен в этих ваших структурах, я никак не смогу тебя удержать.
[41:36-41:46] Speaker 0:  То есть, если ты будешь мыслить категориями, я должен решать, находясь в этой роли, то мы здесь прямо вот под тусовка, которая сейчас собирается, то тебе будет абсолютно бесполезно, ты абсолютно справ.
[41:45-41:53] Speaker 0:  То есть здесь нету корпоративных решений, которые будут тебе внутри твоих вот этой вот конструкции, которую ты.
[41:53-41:59] Speaker 0:  сейчас создаешь легитимны, потому что у тебя будет понимать, у меня в этой роли, Павел, я должен делать тебе все.
[41:59-42:00] Speaker 0:  И ты абсолютно прав.
[42:00-42:08] Speaker 0:  То есть человек, который отформатирован таким образом, Он мыслит в категории я должен выполнять свою рубль внутри своего родного сегмента.
[42:08-42:16] Speaker 0:  Поэтому ты пока мы сейчас будем обращаться, задай себе вопрос, хочу ли я хоть сколько-то вообще мысеть категории с буквы Я начинаю.
[42:16-42:18] Speaker 0:  Большая буква Я в начале, я И.
[42:18-42:22] Speaker 0:  Обратите внимание, в этот момент корпорации, которые напротив.
[42:22-42:25] Speaker 0:  становится инструментарием для реализации Игоря.
[42:25-42:31] Speaker 0:  Если тебе это вообще хоть кокко-подуше, то добро пожаловать, ты получишь и огромное количество энергии.
[42:31-42:35] Speaker 0:  и альтернативный инструментарий, как мы увидишь, как вообще работает.
[42:35-42:41] Speaker 0:  Обрати внимание, в этот момент большая опаста из твоих компаний. Понятно почему?
[42:43-42:47] Speaker 9:  Финальный комментарий, чтобы не было развлечтений, извините, не отвечу на вопрос сразу.
[42:48-42:51] Speaker 9:  Я имею в виду по поводу беру <unk>Я должен<unk>.
[42:52-42:59] Speaker 9:  Это релевантно и для человека, который в корпорации работает, и для человека, который строит свой бизнес, когда ты идешь в какую-то свою..
[43:03-43:06] Speaker 9:  Я говоришь, что я не могу.
[43:06-43:07] Speaker 9:  Ну, когда человек..
[43:08-43:10] Speaker 0:  Смотри, Игорь, ты когда на работу берешь кого-нибудь?
[43:10-43:12] Speaker 0:  У тебя есть люди в напряме?
[43:12-43:13] Speaker 0:  Кого ты берешь на работу?
[43:13-43:15] Speaker 0:  Представляешь, тебе к тебе приходит человек.
[43:15-43:19] Speaker 0:  И он человек раз это говоришь, расскажи про себя, кто ты, что ты хочешь.
[43:19-43:23] Speaker 0:  А он тебе говорит, когда ты, человек, тебя что в голову сразу приходит глядя на него?
[43:25-43:28] Speaker 9:  Ну, мне кажется, тут немножко подмена понятий происходит.
[43:28-43:28] Speaker 0:  Одно дело, когда.
[43:29-43:30] Speaker 0:  Подмена понятий происходит.
[43:30-43:32] Speaker 0:  Игорь, записывай блокдан.
[43:33-43:35] Speaker 0:  Значит, смотри, я тебе буду очень сейчас приятен.
[43:36-43:37] Speaker 0:  Значит, если бы ты..
[43:38-43:45] Speaker 0:  Значит, возьми блокнот и фиксируй, чтобы ты сам себя слышал. Окей.
[43:46-43:48] Speaker 0:  Ну давай, итак, еще раз. Ты.
[43:48-43:51] Speaker 0:  Напиши большими буквыми. Ты. Окей.
[43:52-43:55] Speaker 0:  Как ты думаешь, что ты не имел в виду, когда говоришь букву Ты?
[44:00-44:02] Speaker 9:  Я моделирую образ человека. Не надо.
[44:03-44:04] Speaker 0:  Я хочу с Иделем поговорить.
[44:04-44:05] Speaker 0:  Забудем сейчас про образ с человеком.
[44:05-44:07] Speaker 0:  Можно про Идерем поговорить? Сейчас.
[44:07-44:08] Speaker 9:  Да, да, хорошо, давай, тогда я.
[44:08-44:10] Speaker 9:  Тогда вместо буквы ты. Ты.
[44:10-44:13] Speaker 9:  Беру я, окей. Спасибо большое. Спасибо.
[44:13-44:15] Speaker 9:  Попробуй, да, когда я. Давай, аккуратно.
[44:16-44:22] Speaker 0:  Когда я должен что-либо сделать записывать, когда я должен что-либо делать?
[44:22-44:27] Speaker 0:  Цифра один, когда я должен. Окей. Я должен.
[44:28-44:31] Speaker 0:  Аккуратненько, пожалуйста, смотри сейчас на эту фразу. Я должен.
[44:31-44:32] Speaker 0:  Мне очень интересно, что.
[44:32-44:34] Speaker 0:  Ну ты должен. Слушай. Слушай.
[44:35-44:38] Speaker 9:  Я должен выполнить задачу. Записывай.
[44:38-44:39] Speaker 0:  Я должен выполнить задачу.
[44:39-44:41] Speaker 0:  Давай сейчас месяц эту следочку посмотрим.
[44:41-44:44] Speaker 0:  И это сразу наведется на определенный формат.
[44:45-45:03] Speaker 9:  либо мы как бы на этом программе реально не актуально я на себя взял обмен на мотивацию в том числе финансовую в обмен на Ну, власть.
[45:03-45:05] Speaker 0:  Назовем так, своими именами.
[45:06-45:08] Speaker 0:  Так, еще раз, что ты хочешь, я и на что?
[45:08-45:11] Speaker 0:  Я рай, я пытаюсь понять, Игорь Вот нуну, на чем работаешь, что ты хочешь?
[45:14-45:16] Speaker 9:  Так, чтобы мы не запутались еще раз.
[45:16-45:18] Speaker 9:  Вопрос был о том, что я не должен.
[45:19-45:20] Speaker 9:  Но я считаю, что я не могу.
[45:20-45:22] Speaker 0:  У нас сегодня установлена встреча.
[45:22-45:24] Speaker 0:  Игорь, установочная встреча.
[45:24-45:25] Speaker 0:  Что это означает?
[45:25-45:30] Speaker 0:  Чтобы ты понял, тебе суда вообще хочется, или ты совершенно случайно как бы пообщал, потому что деньги сказал.
[45:30-45:36] Speaker 0:  Значит, я тебе показал, что в этой форме, где мы будем общаться, будем общаться только мы с личностными.
[45:36-45:37] Speaker 0:  Только с личностями.
[45:37-45:37] Speaker 0:  Что это означает?
[45:37-45:41] Speaker 0:  Это означает, что Игорь должен говорить Я хочу, и дальше что-нибудь он хочет.
[45:42-45:48] Speaker 0:  Если Игорь ничего не хочет, или от вот как бы этого прост пространства ничего не хочет, это очень Игорь нормально и хорошо.
[45:49-45:51] Speaker 0:  То есть у нас нет задачи сейчас игры продать.
[45:51-45:52] Speaker 0:  Ты же понимаешь?
[45:52-45:54] Speaker 0:  То есть моя задача поддержать Игоря.
[45:54-45:58] Speaker 0:  То есть я внутри себя и случай огромное удовольствие от реализованного Игоря.
[45:58-46:00] Speaker 0:  Я хочу видеть горящими глазами. Возьми.
[46:00-46:04] Speaker 0:  здорового, реализованного, жалетельно семейного, во всех снова богатых.
[46:04-46:08] Speaker 0:  Если Андрей хочет на порядок перейти, я буду внимательнейше смотреть под микроскопом.
[46:09-46:12] Speaker 0:  Как ему помочь, как по его сильным странам реализоваться о том, что он хочет?
[46:12-46:16] Speaker 0:  Когда Артур говорит, слушайте, я хочу сфокусироваться, я буду под микроскопом разглядывать Артура.
[46:17-46:19] Speaker 0:  Игорь, Артур, что я могу сделать, это уже мне продвинулся вперед?
[46:19-46:21] Speaker 0:  Когда МЗ говорит, я вас за метерику.
[46:21-46:22] Speaker 0:  Я буду брать микроскоп.
[46:22-46:25] Speaker 0:  Короче, лутакую такую, так, а что значит мезотерика?
[46:26-46:25] Speaker 0:  Иго Да что такое карта?
[46:25-46:26] Speaker 0:  Почему этот проект?
[46:26-46:27] Speaker 0:  Каким сильным сторонам?
[46:27-46:28] Speaker 0:  А как тебе помочь?
[46:28-46:30] Speaker 0:  Я буду всячески помогать меды.
[46:30-46:36] Speaker 0:  Так вот обрати внимание, я либо возьмусь помогать Пигорю, не ты абстрактному человеку, мучи здесь все смылись.
[46:36-46:37] Speaker 0:  Чувствую, продачу речь.
[46:39-46:48] Speaker 0:  А либо я установлю контакт с Игорем, либо я не буду мешать Игорен реализуироваться в его корпорационной среде, где в основном ты человек.
[46:48-46:51] Speaker 0:  Мы, команды, задача в обмен, мотивацию.
[46:51-46:53] Speaker 0:  То есть у нас мы делаем такие некие структурные штуки.
[46:53-46:58] Speaker 0:  Вот, Игорь, это практически невозможно с учетом того, что ты 39 лет в этой системе.
[46:58-47:03] Speaker 0:  То есть ты сейчас попал в среду абсолютно свободных, очень сильных личностей.
[47:02-47:09] Speaker 0:  Который каждый из комсейна хозяин, значит, по полной провозве, они корпорации ставят себе на вооружение. Полностью наоборот.
[47:10-47:13] Speaker 0:  Слово должен мы забудем навсегда, в принципе.
[47:13-47:17] Speaker 0:  Слово ты, мы, человек тоже, за это будем приседать.
[47:19-47:27] Speaker 0:  Все время будем работать исключительно просто с Игорем и как Игорю помочь сделать его счастливым, строительным реализованным. Конкретно Игорь.
[47:27-47:29] Speaker 0:  Слово должен забудем навсегда.
[47:29-47:41] Speaker 0:  Вот если Игорь хоть что-то хочет, и ты сегодня в результате новое общение ух ты, пасха, я хочу первое больше энергии, второй альтернативный способ мышления, то есть видеть больше возможностей для собственной реализации.
[47:41-47:43] Speaker 0:  то Игорь я в твоем распределении сделаю все для тебя.
[47:44-47:52] Speaker 0:  Если Игорь скажет, у меня нет никаких интересов, я вообще нормально себя чувствую, мне понятен трек, я знаю, что я должен делать своей компании в рамках свой роли.
[47:51-47:53] Speaker 0:  то я говорю, я тебе точно не нужен.
[47:53-48:00] Speaker 0:  То есть ты вот но послушай, нас поскольку тебе это откликается персональное, личностное такое, знаешь, знаешь, точное движение.
[48:00-48:01] Speaker 0:  Тогда это что будет означать?
[48:01-48:02] Speaker 0:  Ты учишься говорить с Бугу Я?
[48:03-48:08] Speaker 0:  Ты научился говорить вместо слова должен, я хочу слушать телесные реакции.
[48:08-48:12] Speaker 0:  Слышал сегодня от кого-то из парней, там, типа, я не всегда слышу свои исчезные и настоящие телесные реакции.
[48:15-48:16] Speaker 0:  Это вот Дева, например, сказал, да?
[48:16-48:21] Speaker 0:  То есть это услышать только мои настоящие истинные глубинные реакции, которые наполняются меня энергией.
[48:21-48:25] Speaker 0:  Это, кстати, ответ на вопрос, откуда энергия? интересная реакция.
[48:25-48:30] Speaker 0:  Мы вот прям будем залезать, туда заныривать, смотреть где истинная настоящая мотивация, это честная.
[48:30-48:31] Speaker 0:  Но внимание, Игорь.
[48:31-48:33] Speaker 0:  Не только персонально.
[48:33-48:34] Speaker 0:  Всегда буква Я в начале.
[48:34-48:37] Speaker 0:  За букву Ты Прям сразу остановлен речь, и заново буква Я.
[48:38-48:43] Speaker 0:  За обязан надо должен, я внутри корпорации, там по-другому нельзя, я сразу сто взял и заново общий я хочу.
[48:44-48:46] Speaker 0:  Всегда будем выращивать персональную личность.
[48:46-48:55] Speaker 0:  Вот ты примеренно себя говорит эту историю, а вот это на самом деле для мозга очень тяжело, особенно по началу и особенно для человека, который 39 уровень в корпоративной селе.
[48:55-48:59] Speaker 0:  То есть мы сейчас полностью противоречим том, о чем ты был построен.
[48:59-49:04] Speaker 0:  Понимаешь, да, что это прям ты, а все прям прав, ты попал в лугую совершенно среду.
[49:03-49:06] Speaker 0:  Может быть, это магия, может быть, это то, о чем ты все это время жизнь мешал.
[49:06-49:18] Speaker 0:  Ну так же быть, это абсолютно не нужно, и тогда я буду летить разрушителем, который вот эти вот технологичные системные вещи больших корпораций сейчас будет рушить просто на корню. Погнали, погнали.
[49:18-49:21] Speaker 9:  У меня более того, у меня есть опыт ведения своего лишения.
[49:22-49:24] Speaker 0:  Записывай, погнали, бери, записывай по цифре.
[49:24-49:27] Speaker 0:  Цифра один, напругали, цифра два речи. Погнали.
[49:28-49:31] Speaker 0:  И прямо сейчас замедлись и скажи по-другому.
[49:32-49:36] Speaker 0:  Вместо погнали, где мы говорим промы, попли тобой от первого лица промыться.
[49:38-49:40] Speaker 0:  Я бы хотел попробовать. Молодец!
[49:40-49:42] Speaker 0:  Вот это сейчас был шедевр.
[49:42-49:43] Speaker 0:  Я бы хотел попробовать.
[49:44-49:45] Speaker 0:  Это сейчас был.
[49:45-49:47] Speaker 0:  Игорь, именно в этом будет тренировка.
[49:47-49:57] Speaker 0:  Если ты с ней справишься, ты сдашь ахи есть какой кейс, потому что человек, тридцать девять лет, работающий в корпоративной среде, который я бы хотел попробовать мыслить альтернативно, вот как это свободная личность.
[49:57-49:59] Speaker 0:  Это ахишь и есть как круто.
[49:59-50:03] Speaker 0:  Поэтому за сорок лет, короче, одного формата мозгов увидеть друг какой формат мозгов.
[50:03-50:05] Speaker 0:  Это ну, у кого какая трансформация?
[50:05-50:08] Speaker 0:  Наташа, возвращая микрофон. Спасибо.
[50:08-50:09] Speaker 1:  Так, мы познакомились, ребята.
[50:09-50:12] Speaker 1:  Все каждый про себя сказал вам за это. Спасибо.
[50:12-50:14] Speaker 1:  Предлагаю переходить ко второму этапу.
[50:14-50:17] Speaker 0:  А все озвучили, Джан, то есть мы профессионально прошлись.
[50:17-50:20] Speaker 0:  Это Игорь как раз последний, да, вот оно озвучил, да?
[50:20-50:23] Speaker 1:  Поэтому я его не прервал. Понятно, понятно.
[50:24-50:36] Speaker 0:  Так, ну тогда что ж, тогда Игорь пока поставим такую большую запятую, значит, с учетом того, что на дашь не пророшла, потому что может картувал чести, конечно, более глубокое значение за полюбус.
[50:36-50:39] Speaker 0:  Игорь, ты тогда себя послушай, да, вот это ощущение.
[50:39-50:42] Speaker 0:  Значит, будь готов к тому, что мозг будет выпускать через уши.
[50:42-50:45] Speaker 0:  То есть это прям очень новое, такое большое напряжение. Почему?
[50:45-50:52] Speaker 0:  Потому что формат, который ты будешь дальше осветливать, он противоречит огромному количеству постулантов, на которых ты был воспитан на противорении лет.
[50:53-50:57] Speaker 0:  И эта механика требует очень глубокого контакта с собой, причем с очень странными штучками.
[50:57-51:03] Speaker 0:  Например, телекустная реакция, тела, например, понятие желания в челюстом виде, буквы Я.
[51:04-51:17] Speaker 0:  Вместо понятия должноствовательное я хочу перепроверка намерения, она нисколько хочу, потом изучение слабых талантов и со сильных сторон призменительно к тебе одному Игл до понятия пара и еще до понятия клана.
[51:17-51:27] Speaker 0:  То есть сначала сам за себя исследуем, причем в рамжных тусовках, то есть, как ты работал в других корпорациях, чем-то у нас в школе и так далее, и Игоря исследуем, понимаете, лихта вот такая механичка.
[51:27-51:32] Speaker 0:  Вот, и с этого момента мы дальше задаем вопрос, почему Игорю в гне вы работаете внутри корпоративного рынка, да?
[51:32-51:40] Speaker 0:  Худо впечатленно это делалось, какие ресурсы у него в этот момент на максимум, а какие момент и страдают Насколько осознанный был выбор.
[51:40-51:41] Speaker 0:  И ты абсолютно птав.
[51:41-51:47] Speaker 0:  Я покажу тебе, исчерпывай набор абсолютно другого сеструментария, нежели чем тот, который мы используем в корпоративном рынке.
[51:50-51:55] Speaker 0:  Это напрямую влетать на энергию и очень сильно расширяет мозг с точки зрения возможности принятия общения.
[51:55-51:55] Speaker 0:  А
[51:55-52:00] Speaker 0:  самое интересное, Ты потом можешь применять это сразу и на своей корпоративной найду.
[52:00-52:04] Speaker 0:  У нас супер красивый пример с Бережи, который на ММВ работал очень долго.
[52:04-52:11] Speaker 0:  И он вот он как был в ММВБ, так и остался спецназом МВБ, который знал, что это управляет нашим этими сделками, так для непоглощания.
[52:11-52:14] Speaker 0:  Вот, и просто совершенно внутрь роли.
[52:14-52:18] Speaker 0:  Но мало того, что он зарабатывает теперь совершенно по-другому, да, вообще в другах категориях.
[52:18-52:25] Speaker 0:  Но он сначала принял решение отсоединиться и отходить А потом присоединился в тапри новой роли, что коллегу мало не показал.
[52:25-52:32] Speaker 0:  То есть он уровень своей свободы и продуктивности повысил просто на порядок и это очень круто.
[52:32-52:35] Speaker 0:  И это это не означает, что ты скорповит в одной среды.
[52:35-52:47] Speaker 0:  вот или как-то по-другому будешь мыслить но это реальность голову раскрывает очень просто так сыграем тогда пока нутаем как бы нам уже вторую стадию да ну саш надо Перейдем.
[52:47-52:49] Speaker 1:  Смотри, как вторая стадия.
[52:49-52:50] Speaker 1:  Я ее вижу.
[52:50-52:52] Speaker 1:  Это три вопроса, диагностические.
[52:52-52:57] Speaker 1:  Я предлагаю сначала вместе, пройдите, а потом скажете, разобрать персонально.
[52:57-53:00] Speaker 0:  Так Что значит все вместе?
[53:00-53:03] Speaker 0:  То есть сначала минус, чтобы каждый писал это, да? А куда?
[53:05-53:07] Speaker 1:  К себе просто, чтобы вы писали.
[53:07-53:09] Speaker 0:  Сейчас мы в чат идет в блокнот.
[53:09-53:12] Speaker 1:  Блокнот к себе, а потом каждому по 10 минут разубрать водопровод.
[53:12-53:14] Speaker 0:  А-а-а, принято.
[53:15-53:16] Speaker 0:  Так, ребята, вторая стадия.
[53:16-53:18] Speaker 0:  Чуть больше глубокий контакт.
[53:18-53:31] Speaker 0:  для того чтобы мы с этими лучше понимали что над чем работает то есть мы сейчас заготовками прошлись вот а теперь давайте сделаем такой прям совместный прицел обучаю да то есть кто над чем работает Вот, три вопроса.
[53:31-53:32] Speaker 0:  Что хочу, то есть что мешает?
[53:32-53:34] Speaker 0:  Да, то, что мы сейчас начались с Игоря посерать.
[53:34-53:35] Speaker 0:  Ага, вот и как раз смотри.
[53:35-53:36] Speaker 0:  Тыго меня на себя.
[53:36-53:38] Speaker 0:  Значит, сейчас я бы прошу взять блокноты.
[53:38-53:39] Speaker 0:  Покажите ваши блокноты.
[53:39-53:43] Speaker 0:  Электронная форма или бумфожная. Покажите. Пожалуйста.
[53:43-53:55] Speaker 0:  финансируйте фикс так ребята артур у тебя есть блокнот какой-то да то есть сейчас важна именно финансация фикс да андрей ты будешь вот пишетать в этой форме да ага все материнка На игре вижу. Ага.
[53:55-53:56] Speaker 0:  Дима, тебя есть? Дина?
[53:56-53:57] Speaker 0:  Да, понял, Артем.
[53:57-53:57] Speaker 0:  Да, понял, печатаешь?
[53:57-53:59] Speaker 0:  Да, вот и данный бумаг. Все.
[53:59-54:02] Speaker 0:  Значит, что мы сейчас с вами делаем? Три вопроса.
[54:02-54:06] Speaker 0:  Я на каждый дни буду очень внимательно проставлять акценты.
[54:06-54:09] Speaker 0:  Значит, мы с вами посмотрим, что хочу.
[54:10-54:12] Speaker 0:  Игорь с точкой какая-то формулировка, как я.
[54:12-54:14] Speaker 0:  То есть от первого лица.
[54:14-54:24] Speaker 0:  хочу не надо обязан должен потому что определенная роль корпоралется и так далее а это я конкретно хочу и дальше пожалуйста в корпорации по природе там подочить какую-то должную еще что-то.
[54:24-54:33] Speaker 0:  То есть всегда начинает буква <unk>я<unk>, большую прям вначале, пишешь, потом слово <unk>хочу<unk>, каждый раз себя пересмотришь, я или прям я, а насколько хочу.
[54:33-54:35] Speaker 0:  Прям для себя это будет отдельно себе очень важно, правда?
[54:35-54:37] Speaker 0:  Вот, это я или не вдох-выдох.
[54:38-54:41] Speaker 0:  Хочу, серьезно, я этого хочу.
[54:41-54:45] Speaker 0:  Вот, и дальше, бробворя, после этого соратника формируешь будущее.
[54:45-54:49] Speaker 0:  Вот, дальше мы с вами посмотрим из этого состояния будущего.
[54:49-54:52] Speaker 0:  Где вы находитесь сейчас, будет некий разрыв.
[54:53-54:57] Speaker 0:  То есть я хочу 500 человек в марафоне, у меня 500 человек.
[54:57-54:59] Speaker 0:  Я хочу один сфокусированный проект, у меня есть 5 проектов.
[55:00-55:04] Speaker 0:  Я обычно начинаю, но не сумна заканчиваю, начал, и проект продокрутого результата.
[55:04-55:07] Speaker 0:  То есть будет какая-то конечная. Дальше.
[55:07-55:10] Speaker 0:  И входные данные, то есть что у меня сейчас.
[55:10-55:13] Speaker 0:  Мы несходные данные мы будем изучать в положительных формуразировках.
[55:13-55:14] Speaker 0:  Что это значит?
[55:14-55:17] Speaker 0:  Не уменьшаем здесь провал, здесь плохо, здесь вознедостаточно, и так и так.
[55:17-55:20] Speaker 0:  А у меня вот здесь достигаем, вот здесь рисуем, и вот здесь я курс, что могу.
[55:20-55:23] Speaker 0:  Берем вот эти две точки, что сейчас я что хочу.
[55:24-55:26] Speaker 0:  После этого смотрим треект-маторию.
[55:26-55:28] Speaker 0:  Чий-то запрос сегодня был шаги прорисувать.
[55:29-55:33] Speaker 0:  Это кто делал? Женя. Женя, да?
[55:33-55:35] Speaker 0:  Вот, значит, шаги прорисать.
