Date: 2025-12-29T21:14:25Z
Duration: 159m 1s

[01:01-01:04] Ivan Belyankin:  Вроде все запустилось.
[26:05-26:07] Павел Кочкин:  До хрен-то с 2, да?
[26:07-26:18] Павел Кочкин:  То есть мне чинить эту вот механику, вот мне этот пункт, который я тебе сегодня рассказывал, блин, это воды психотерапии, мои коллеги-психологи, которые надо мной так и девались, и в воду меня кидали, короче, там что, ну, я рисовать ходил учиться.
[26:18-26:27] Павел Кочкин:  Ну, в общем, короче, вот мне вот этот пункт очень дорого стоил. Очень дорого. Вторая подсказка. Вторая подсказка.
[26:27-26:33] Павел Кочкин:  Значит, оказывается, можно не из пункта А, а в пункт Б планировать. Прикиньте.
[26:34-26:36] Павел Кочкин:  Оказывается, это грубая ошибка.
[26:36-26:38] Павел Кочкин:  Из сегодняшнего дня целится в завтра.
[26:40-26:44] Павел Кочкин:  Как вам идея награду получить сразу?
[26:46-26:47] Павел Кочкин:  Что значит награда сразу?
[26:48-26:54] Павел Кочкин:  Тело, вот то, про что мы сейчас говорили, прочувствовать, сразу погружаем в конечный результат.
[26:54-26:58] Павел Кочкин:  Самый простой вариант <unk> это тест-драйвы. Тест-драйв.
[26:58-27:01] Павел Кочкин:  То есть, если я хочу эту тачку, то едем на просмотр.
[27:01-27:08] Павел Кочкин:  Или, например, мы сели все это время в бойной старте и положили на гельдерского нагрева в Сента Лопас.
[27:07-27:18] Павел Кочкин:  И регулярно мы такие, ну что, может это в Нордельте поживем или еще куда-нибудь переедем, я и на это сразу говорю, назначаю просмотры.
[27:20-27:24] Павел Кочкин:  Как вы думаете, что происходит, как только я элеговорю, назначая просветры?
[27:25-27:33] Павел Кочкин:  Уже сразу большой вопрос, а куда, а как, а зачем, а что со школой, миллион деталей, которые сразу ты интеллектом не посчитаешь.
[27:33-27:34] Павел Кочкин:  Но я говорю, назначай, назначай.
[27:34-27:42] Павел Кочкин:  И вот мы едем в Нордельту, смотреть дома, желательно первая линия, и желательно, чтобы вода была большая, чтобы оттуда можно было на лодке куда-то уехать.
[27:41-27:43] Павел Кочкин:  Отклик есть, наблюдаем.
[27:43-27:45] Павел Кочкин:  Приезжаем, ходим по этим домам.
[27:45-27:47] Павел Кочкин:  Вдруг выясняется, что здесь купаться нельзя.
[27:48-27:54] Павел Кочкин:  Вдруг выясняется, что отсюда ехать до центра города, где мы будем общаться, но минимум минут 40, а то и час, а то и побольше.
[27:54-28:03] Павел Кочкин:  Вот, и вот мы смотрим на эти улочки пустые, красивые, смотрим на эти дома и спокойствия, потом смотрим друг на друга и такие, блин, нам нравится тупс.
[28:03-28:04] Павел Кочкин:  Мы, короче, городские ребята.
[28:04-28:16] Павел Кочкин:  Вот здесь такие, знаете, деревенские, которые готовы там час ездить все время, где надо лес, поле а нам нравится вот ну, чтобы машины под окнами, короче, ездили безупревно и железная дорога и самолет над головой. Такие, неужели?
[28:16-28:18] Павел Кочкин:  Мы сегодня с Иваном сидели в кафе.
[28:18-28:19] Павел Кочкин:  Вот, разговаривали.
[28:19-28:22] Павел Кочкин:  Он говорит: я вот из небольшой деревни в Челябинске. Наташ.
[28:22-28:23] Павел Кочкин:  Иван из небольшой деревни в Челябинске.
[28:23-28:24] Павел Кочкин:  Как и ты?
[28:24-28:28] Павел Кочкин:  Наташа, у тебя какая деревня? Продакалмак. Продакалмак.
[28:28-28:30] Павел Кочкин:  Ивана, а у тебя?
[28:35-28:37] Павел Кочкин:  Иван, отожми микрофон, скажи, деревня у тебя какая.
[28:37-28:39] Павел Кочкин:  Да, да, у меня называется.
[28:44-28:54] Павел Кочкин:  Именно поэтому Иван сейчас живет не в Мадриде и не в Барселоне, а где-то там, вот между Поленсией, что-то там называют мне какую-то деревню, которую я так же не зваю, как и продаколнак примерно.
[28:54-28:56] Павел Кочкин:  Вот ему нормально, а мне нет.
[28:56-28:58] Павел Кочкин:  Значит, вопрос: я как решение принимать?
[28:58-29:03] Павел Кочкин:  Мне в следующем году надо дом в Нор-Дельте.
[29:03-29:05] Павел Кочкин:  Подскажите, пожалуйста, как мне это сделать?
[29:05-29:07] Павел Кочкин:  Вот у меня план на 2026 год.
[29:07-29:09] Павел Кочкин:  Но сейчас с женой давай думать.
[29:09-29:12] Павел Кочкин:  Чтобы это были не говношланы, а что-то по делу. Что делать?
[29:13-29:15] Павел Кочкин:  Тебе надо представить, как тебе будет кайфовым.
[29:15-29:16] Павел Кочкин:  А, или можно говорить, если что.
[29:16-29:17] Павел Кочкин:  Да, можешь говорить, да.
[29:17-29:18] Павел Кочкин:  Значит, первый вариант.
[29:18-29:20] Павел Кочкин:  Представить, как в нем будет кайфово. Второй вариант.
[29:20-29:25] Ivan Belyankin:  Да, запрыгнуть в это состояние и попробовать понять, что для этого состояния нужно сделать.
[29:25-29:28] Ivan Belyankin:  И вот у тебя будет как двигаешься.
[29:27-29:29] Павел Кочкин:  Иван, мне с тобой скучно разговаривать.
[29:29-29:32] Павел Кочкин:  Ты уж как Андрей, ты что себе пришел?
[29:32-29:35] Павел Кочкин:  Я знаю, да, чтобы это просто пообщаться с нашего приветку с Бенсе.
[29:35-29:36] Павел Кочкин:  Вот, да, да, да.
[29:36-29:37] Павел Кочкин:  Иванов все это правильно говорит.
[29:37-29:39] Павел Кочкин:  Итак, смотрите, у нас два решения.
[29:39-29:41] Павел Кочкин:  Первый вариант запрыгнуть в это состояние.
[29:41-29:46] Павел Кочкин:  Если вы такие, как Иван, хорошо понимаете, что это означает, то так и надо сделать.
[29:45-29:51] Павел Кочкин:  То есть я делаю себя в бассейне, ну, у бассейна у меня такая была, такая вдоль бассейна.
[29:51-29:52] Павел Кочкин:  Вот я делал расстановки каждый раз.
[29:52-29:56] Павел Кочкин:  То есть я точку Б внимание сначала формировал.
[29:57-30:07] Павел Кочкин:  То есть вставал и прямо отрисовал, как я живу в этом доме, с кем я общаюсь, куда хочет дети в школы, сколько я стол уже в зуме, сколько я там, не знаю, езжу на велосипеде, с кем вот ему во что одел.
[30:07-30:13] Павел Кочкин:  И вот я, короче, рисую Кочкина в будущем который, как мне кажется, будет счастлив, довольно реализован.
[30:13-30:14] Павел Кочкин:  Дальше я что делаю?
[30:14-30:19] Павел Кочкин:  То, что я вс<unk> сказал, запрыгиваю в это состояние, надевая на себя, как в аватарь эту шпаку.
[30:19-30:28] Павел Кочкин:  Обратите внимание, и все награды получаю сразу, примеряю на себя, каково это, чувствую, прям представляю вот во всех деталях.
[30:28-30:34] Павел Кочкин:  Прям не экономлю об это время, это прям практика, которую я делал каждый день, тратя на это за 15 минут утром.
[30:35-30:44] Павел Кочкин:  Я прям такой надеваю на себя на ту шкурку желаемого состояния, смотрю на себя и перепроверяю, это та наградость, которую я буду топить, или хрень какая-то.
[30:45-30:52] Павел Кочкин:  Итак, ребята, свои планы 2026 года я не в тетрадке рисую, а я физически.
[30:53-31:06] Павел Кочкин:  Трачу примерно неделю-две-три на то, чтобы прочувствовать состояние, ради которого я готов топить на педаль газа, повышать ставки, рисковать, короче, и напрягать себя свое нагружение вокруг, сколько помогают.
[31:07-31:18] Павел Кочкин:  Как одна из опций, если это физически возможно, я говорю своей жене, я говорю, Эль, говорю, слушай, есть вот такая гипотеза, или она мне говорит, может, на пляже поживем.
[31:18-31:20] Павел Кочкин:  Я говорю, ну поехали, попробуем.
[31:20-31:32] Павел Кочкин:  И вот мы приезжаем в этих домах лазим, смотрим и примеряем на себя вот эту шкурку, что мы вот в этом доме живем, вот тут я работаю, вот тут я купаюсь, а вот тут купаться нельзя, только эти каяки.
[31:32-31:37] Павел Кочкин:  А вот в эту школу ходят дети, а вот отсюда мы едем потом, ну, к себе назад будет на сервес, Наси, как его.
[31:37-31:38] Павел Кочкин:  Это наше мероприятие, любимое.
[31:38-31:42] Павел Кочкин:  Вот, и мы такие слушаем, слушаем, слушаем, внимательно что слушаем.
[31:42-31:43] Павел Кочкин:  Пишем в чат, ребята.
[31:44-31:48] Павел Кочкин:  Что в этот момент я слушаю, когда примеряю на себя вот этот адрес?
[31:49-31:53] Павел Кочкин:  Конечно, Настя именно тело и слушаем. Ощущение. Абсолютно верно.
[31:53-31:58] Павел Кочкин:  Не интеллект, молодец Алекс, а внутренняя интуиция, тела.
[31:58-32:01] Павел Кочкин:  Вот это вот, знаете, жопу примерить вот в это ощущение.
[32:01-32:03] Павел Кочкин:  Итак, если вы так сделаете.
[32:03-32:14] Павел Кочкин:  то адрес заранее наполнен допомином химии в теле, ради которой вы с пастричка будете двигаться, ради которой вы будете активно двигаться.
[32:15-32:16] Павел Кочкин:  Эмоции, а эмоции язык темы.
[32:17-32:19] Павел Кочкин:  Спасибо огромное, мне очень приятно с вами сегодня общаться, ребята.
[32:20-32:27] Павел Кочкин:  Именно этот инструмент, пожалуйста, используйте сейчас, когда будете примерять на себя вообще идея на 2026 год.
[32:27-32:31] Павел Кочкин:  Залезьте телом в конечный результат. И оттуда..
[32:31-32:33] Павел Кочкин:  Иван еще дальше сказал, что делать.
[32:33-32:38] Павел Кочкин:  Разворачиваюсь назад и смотрю, что мне для этого предстоит сделать, а действительно или игра стоит свечь.
[32:37-32:42] Павел Кочкин:  А действительно ради этого я сколько раз приседать, отжиматься, рисковать деньги, там я не знаю, переезд.
[32:42-32:45] Павел Кочкин:  Вот я сижу такой с паспортом аргентинским.
[32:45-32:50] Павел Кочкин:  Надо мне ради этого сейчас Денису написать, с адвокатом поговорить, или хрен с ним, или неохота.
[32:50-32:53] Павел Кочкин:  Я здесь это По Digital No Man, короче, в Испании потяжу.
[32:53-32:55] Павел Кочкин:  Да, конечно, не очень безопасно, но это сижу и слушаю себя.
[32:55-32:56] Павел Кочкин:  Надо, не надо.
[32:56-33:00] Павел Кочкин:  Вот это ощущение мне нравится, иначе с налогами куча геморрой.
[33:00-33:01] Павел Кочкин:  Вот дальше вопрос.
[33:01-33:04] Павел Кочкин:  Ладно, пойду хотя бы, спашешь, кочки нам чашку побью, скорее скажет, что там в ракетните.
[33:04-33:08] Павел Кочкин:  А вот что-то он ко мне не хочет говорят ехать в сторону Москвы.
[33:08-33:10] Павел Кочкин:  Ладно, приехать к нему в гости. Готов пошевелиться.
[33:11-33:13] Павел Кочкин:  Вот они, телесные ощущения.
[33:13-33:21] Павел Кочкин:  На которых вы дальше гораздо более реалистично оцените план, так ребята, циферка 2 более-менее понятно, о чем речь, или опять это опять какие-то странные все штуки.
[33:21-33:28] Павел Кочкин:  Дайте мне да поставьте либо два, либо плюс, либо да, чтобы я понял, о чем речь. Прям забирайте. Забирайте.
[33:30-33:36] Павел Кочкин:  Обратите внимание, очень простые предметные вещи, которые облегчат вам дают в эту абстракцию.
[33:36-33:38] Павел Кочкин:  чего я хочу, куда я хочу.
[33:38-33:40] Павел Кочкин:  Значит, первое, примеряйте телевизорные ощущения.
[33:40-33:42] Павел Кочкин:  Второе, конечно, результат.
[33:43-33:49] Павел Кочкин:  Не из амичного найти, а надевайте в тело любыми путями от тест-драйва до, по крайней мере, восстановок.
[33:49-33:56] Павел Кочкин:  Не надо думать на эту тему, постарайтесь прочувствовать ваши ставки и награды. Дальше идем. Спасибо большое.
[33:57-33:59] Павел Кочкин:  Может ли это назвать пробным периодом конечности?
[34:00-34:06] Павел Кочкин:  Очень хорошая раундровка. Кто сказал? Молодец. Молодец. Степанов Иван.
[34:06-34:08] Павел Кочкин:  О, слушайте, какие у нас Иваны крутые называются?
[34:08-34:10] Павел Кочкин:  Я думал, только мой дед Иван, короче. Крутой такой.
[34:10-34:12] Павел Кочкин:  Вот еще господин Степанов.
[34:12-34:13] Павел Кочкин:  Да, да, Ваня, все верно.
[34:13-34:15] Павел Кочкин:  Именно так и можно назвать.
[34:15-34:21] Павел Кочкин:  Андрей Зенин, я очень сильно Э очень сильно помог себе вопросом, что я точно не хочу на сто процентов.
[34:21-34:23] Павел Кочкин:  Что тогда я хочу вместо этого профессионально?
[34:23-34:25] Павел Кочкин:  Значит, Андрей сейчас вам показывает методику тренажера.
[34:25-34:27] Павел Кочкин:  Тут цифра один, это что я точно не хочу.
[34:27-34:29] Павел Кочкин:  Мы называем это посрать мозгом.
[34:29-34:31] Павел Кочкин:  То есть вы валиваете все, что вас беспокоит.
[34:31-34:35] Павел Кочкин:  Я не хочу кассу разрывов, я не хочу вот это, не хочу вот это, меня бесит вот это, и так далее.
[34:35-34:37] Павел Кочкин:  Просто вы валиваете с башки все, что вы балабали.
[34:37-34:40] Павел Кочкин:  Это называется у нас тренажер. Базовая механика.
[34:40-34:44] Павел Кочкин:  Вот после этого переделываем буквы Я и положительно окрашено.
[34:44-34:46] Павел Кочкин:  То есть, что тогда хочу вместо этого.
[34:46-34:48] Павел Кочкин:  Там два показателя очень важны.
[34:48-34:52] Павел Кочкин:  Сначала буква Я, не мы все, а у нас там и так далее, а вот я конкретно.
[34:52-34:54] Павел Кочкин:  Вот и хочу.
[34:54-34:57] Павел Кочкин:  И третье, что из этого я хочу больше, чем другое.
[34:57-35:00] Павел Кочкин:  В моем случае, это какие действия.
[35:01-35:05] Павел Кочкин:  Что я хочу настолько, что готов подкрепить это рисками, делами и так далее.
[35:05-35:09] Павел Кочкин:  То есть, как раз те самые природизации, что я хочу больше, чем другое. Какой критерий?
[35:09-35:10] Павел Кочкин:  Я готов риски.
[35:10-35:11] Павел Кочкин:  Давайте я готов повышать доставки.
[35:11-35:11] Павел Кочкин:  Спасибо, Андрей.
[35:11-35:12] Павел Кочкин:  Это очень хороший механик.
[35:13-35:16] Павел Кочкин:  У нас она на 4 пункта тренажера, так называемый. Вот так. Вот здесь.
[35:17-35:20] Павел Кочкин:  Мешает обстоятельства, нет возможности и стражные, и дальше культ ошибки.
[35:20-35:22] Павел Кочкин:  Вот эта штука у меня есть в методике.
[35:23-35:31] Павел Кочкин:  Там есть четыре мышцы, которые мы прокачиваем: это осознанность, присвоение, потом зеленый маркер и культ ошибки.
[35:30-35:33] Павел Кочкин:  Вот прокачиваете, и тогда вы с собой гараздо лучше дружите.
[35:33-35:40] Павел Кочкин:  Но эта вот методика, мы вас еще потом, кто захочет, позовем вместе за стол, и те, кто глазят, это желание.
[35:40-35:45] Павел Кочкин:  вместе поработать я Денис попрошу, чтобы он с вами пообщался и мы соберем опять этот стол.
[35:46-35:49] Павел Кочкин:  Можно их каких-нибудь там соберем на все.
[35:49-35:51] Павел Кочкин:  Вот, и будем вместе с вами все дело воплощать.
[35:51-35:53] Павел Кочкин:  Так, первые два планета.
[35:53-35:54] Павел Кочкин:  Значит, три тебя.
[35:54-35:56] Павел Кочкин:  А вот теперь совсем разовших мозгов.
[35:56-36:00] Павел Кочкин:  Так, ребята, а как вам вообще идея? Смотрите.
[36:01-36:04] Павел Кочкин:  Как вам вообще идея планирования? Что скажете?
[36:04-36:07] Павел Кочкин:  Можете вообще нахрен планирование?
[36:07-36:10] Павел Кочкин:  Поставьте плюсик, кому нравится идея, вообще не планировать.
[36:12-36:17] Павел Кочкин:  Ну вот реально, хочется смешить Бога, расскажи мне о своих планах.
[36:18-36:25] Павел Кочкин:  Вот это планы на две тысячи двадцать шестой, что-то такое написать, нарисовать, представить, прочувствовать.
[36:26-36:31] Павел Кочкин:  Обратите внимание, а еще одна опция вообще забить на планирование.
[36:31-36:33] Павел Кочкин:  Реагируйте по ситуации.
[36:35-36:37] Павел Кочкин:  Планирование все, планы не все.
[36:39-36:45] Павел Кочкин:  Я когда раньше вот эту тему так увидельски делал, вот у меня вот эта вот заметка, ей, наверное, 10 вот это.
[36:45-36:46] Павел Кочкин:  Я вот так заходил.
[36:46-36:53] Павел Кочкин:  Как раз те, кто смотрели записи в прошлый раз, я показывал, то как я, короче, развлекаюсь, когда мне хочется поискледовать свое будущее.
[36:53-36:57] Павел Кочкин:  Я сначала, естественно, логикой нахожу, вот это вот цифрами там.
[36:56-37:07] Павел Кочкин:  Потом фантазия, что будет, если, потом эмоционально, потом телом, потом картину нарисую, потом о близких, короче, начинаю общих тукать с женой, поговорил там еще с кем-нибудь, с коллегами.
[37:07-37:12] Павел Кочкин:  Потом на хронометраж посмотрю, потом от общего к часу, потому что типа вот если я помру, что пустил оставлю.
[37:12-37:16] Павел Кочкин:  Потом наоборот отчас, а по к общему, типа, если завтра, послезавтра что делать.
[37:16-37:22] Павел Кочкин:  Потом герой и так далее. 17 пункт.
[37:22-37:24] Павел Кочкин:  Видите, как украинсивый?
[37:24-37:26] Павел Кочкин:  Я сейчас сразу в индульгенцию.
[37:27-37:38] Павел Кочкин:  вам видно 17 пункт я прям смотрю на нее думаю кочкин вообще это нахрен планирую не если и все время себя переспрашиваю ну Если я и какое-то буду делать, то какой?
[37:39-37:40] Павел Кочкин:  Зачем я делаю это?
[37:40-37:41] Павел Кочкин:  Нет, мне вот эти ориентиры.
[37:41-37:45] Павел Кочкин:  И тут я поехал в Гаррискую бизнес-школу на курс Launch New Ventures.
[37:45-37:51] Павел Кочкин:  Вот, это Executive Education, он у меня был курс, называется Launch New Ventures по запуску на недовольных венчурных проектах. Воскресенье инвестиции.
[37:52-37:53] Павел Кочкин:  Я поехал, смотрю на это на все.
[37:54-38:00] Павел Кочкин:  И вдруг гаровский профессор говорит: Ребята, а у кого были бизнес-планы на предыдущие пять лет?
[38:01-38:03] Павел Кочкин:  Кто-нибудь стратегию прорисовал из своей компании?
[38:03-38:08] Павел Кочкин:  Все-таки, ну, ну, конечно, там куча бизнесменов сидят с большими бизнесами.
[38:08-38:12] Павел Кочкин:  Он говорит, а кто вложил туда войну, а кто заложил туда пандемию?
[38:12-38:14] Павел Кочкин:  А кто заложил туда вот это, вот это и вот это?
[38:14-38:16] Павел Кочкин:  Все-таки хи-хи-хи, ха-хи-ха.
[38:17-38:27] Павел Кочкин:  Так вот внимание, думайте следующий год там типа лишь следующие несколько лет, они прям такие предсказуют, ну и может быть на что-то ориентироваться, кто заложил это изменение налогов в России, вот так, как они сейчас будут коняться.
[38:27-38:31] Павел Кочкин:  Кто заложил то, что блокирует нашу все вообще?
[38:31-38:34] Павел Кочкин:  Инстаграм, Ютьюб, там, типа Telegram скоро перестает работать.
[38:35-38:37] Павел Кочкин:  Кто заложил развитие FMAX?
[38:38-38:40] Павел Кочкин:  А вы думаете, дальше будет все как-то стабильно работать?
[38:40-38:47] Павел Кочкин:  Что делать с учетом того, что кардинально меняется абсолютно все, даже не за год А вот те, кто на вайбере сработают, и у меня поправьте.
[38:47-38:51] Павел Кочкин:  Там в неделю, может, два раза будет какое-нибудь обновление, в которое полностью меняет все ваши диманы.
[38:51-38:54] Павел Кочкин:  А вам надо доставку заказывать.
[38:53-38:57] Павел Кочкин:  Вам надо заказ сделать из Китая, а вы там какую-то маршруту заложили.
[38:57-39:00] Павел Кочкин:  Тут Велберс говорит, другие условия, если что.
[39:00-39:03] Павел Кочкин:  Совершенно односторонние, вас вообще не спрашивают.
[39:04-39:06] Павел Кочкин:  Как вам третий пункт?
[39:06-39:11] Павел Кочкин:  Значит, Гарвард, Гарвард, профессор откуда, он говорит, слушайте, ребята, планировать это ошибка.
[39:12-39:16] Павел Кочкин:  Я вам только что Черниговскую цитировал, которая говорит, интеллект это ошибка.
[39:16-39:19] Павел Кочкин:  Теперь в гарде мне говорят, планирование <unk> это ошибка.
[39:19-39:20] Павел Кочкин:  Так, теперь вам микрофон.
[39:21-39:22] Павел Кочкин:  Теперь что будем делать?
[39:23-39:29] Павел Кочкин:  Планирование с точки зрения гарго-студизной школы. Ошибка. Просто невозможно.
[39:29-39:33] Павел Кочкин:  То есть скорость изменений такая, что любые ваши планы заботка абсолютно не актуальны.
[39:33-39:35] Павел Кочкин:  Тогда что делать-то? Давайте жду.
[39:35-39:37] Павел Кочкин:  Можете в чат написать, можете обжать микрофон.
[39:40-39:43] Павел Кочкин:  Поставлять контрольные точки. Красиво.
[39:43-39:44] Павел Кочкин:  Давай, какие, Антон?
[39:45-39:48] Павел Кочкин:  Ну, например, если это можно в цифрах, то в цифрах.
[39:48-39:53] Антон Погорелый:  Если это развитие блога, то миллион подписчиков, до миллиона можно оставить точки.
[39:54-39:56] Iggi Eliz:  Десять тысяч пятьдесят столбригах.
[39:56-40:00] Павел Кочкин:  Красивая гипотеза, Антон, но ответ еще более жесткий.
[40:00-40:00] Павел Кочкин:  Но ты близок.
[40:01-40:03] Павел Кочкин:  Давайте, у кого есть еще мысли?
[40:11-40:13] Павел Кочкин:  Мечтать телом, опять же, абсолютно верно.
[40:13-40:14] Павел Кочкин:  Это мы уже знаем.
[40:14-40:17] Павел Кочкин:  То есть сейчас теперь вопрос, как мечтать-то?
[40:17-40:20] Павел Кочкин:  Вот Антон предлагает контрольные точки.
[40:20-40:27] Павел Кочкин:  То есть не только адрес, но еще и контрольные точки.
[40:28-40:29] Павел Кочкин:  Ну что, какие идеи?
[40:32-40:33] Павел Кочкин:  Гаровская бизнес-школа.
[40:33-40:35] Павел Кочкин:  Планирование, полное хранение.
[40:36-40:38] Павел Кочкин:  Ну, сами на себя примете.
[40:38-40:41] Павел Кочкин:  И все такие, ну как бы да. Прекрасно.
[40:41-40:46] Павел Кочкин:  И делать, что Значит, внимание, Антон, ты был близн, но.
[40:46-40:50] Павел Кочкин:  Значит, смотрим внимательно на вот немного вот лаки.
[40:51-40:52] Павел Кочкин:  Это кто лаки Дэн?
[40:52-40:56] Павел Кочкин:  Мечтать телом, опять же, Дэн, значит, первое, она все-таки Ну молодец.
[40:57-40:58] Павел Кочкин:  То есть ты внимательно слушаешь.
[40:58-41:05] Павел Кочкин:  Во-первых, все-таки уважаемый Антон, не цифрами мечтать с минитрольными точками, а телом Антон, понятно, о чем речь?
[41:06-41:15] Павел Кочкин:  То есть адекватное проектирование - это не показатели по бизнесу, а это я в будущем. Успеваешь, Антон?
[41:15-41:18] Павел Кочкин:  Там полная ответственность, там полная свобода.
[41:18-41:22] Павел Кочкин:  Там ты можешь выбрать правильные роли для себя, которые тебя оптимимальные.
[41:22-41:25] Павел Кочкин:  Правильное позиционирование, с кем партнерится, что делать и так далее.
[41:25-41:27] Павел Кочкин:  Тут стопроцентное влияние.
[41:29-41:34] Павел Кочкин:  А планирование про бизнесу это очень такая часткость, причем надо понять, кому это все нужно.
[41:34-41:37] Павел Кочкин:  Это для того, чтобы ты в команду спустил, у тебя там монархия или что там.
[41:37-41:40] Павел Кочкин:  То есть, ну, короче, это такая вещь, знаешь, очень логикальная.
[41:40-41:43] Павел Кочкин:  Она скорее нужна для отдел продам, чтобы они были ориентированы.
[41:43-41:47] Павел Кочкин:  А тебе, ну, все-таки предстоит себя в будущем формировать.
[41:47-41:49] Павел Кочкин:  Вот, и да, можно сделать контрольные точки.
[41:49-41:57] Павел Кочкин:  Так вот, внимание: в гарвардской бизнес-школе нам предложили оставить только две контрольные точки, Антон. Только две.
[41:58-42:00] Павел Кочкин:  Как вы думаете, какие?
[42:00-42:01] Павел Кочкин:  И на этом все.
[42:01-42:04] Павел Кочкин:  На сегодня это то, что я вам хочу сказать. Хватит сказать.
[42:04-42:06] Павел Кочкин:  Вот, дальше мы перейдем к рядам открытого диалога.
[42:08-42:23] Павел Кочкин:  антон какие две точки оставим для планирования остальное вообще сейчас забываем на хто ну судя по всему по состоянию какая-то финальная может быть промежуточная но ты блещущена а теперь дальше не пробежуточная а как Молодец.
[42:23-42:27] Павел Кочкин:  Итак, адрес в навигаторе и свет фар.
[42:27-42:29] Павел Кочкин:  Дарю вам эту гаррусскую метафору.
[42:29-42:30] Павел Кочкин:  Вы объясняли именно так.
[42:31-42:33] Павел Кочкин:  Значит, то же самое говорит Дэвид Аллен.
[42:33-42:38] Павел Кочкин:  Он говорит, наш мозг, наш планировщик, просто от Бога, он моментально пробрасывает маршрут в точку Б. Моментально.
[42:38-42:42] Павел Кочкин:  Если ты видишь Москва-Питер, держи в голове только две точки.
[42:43-42:45] Павел Кочкин:  Антон, подсказывай, какие.
[42:51-42:52] Павел Кочкин:  И начально, абсолютно верно.
[42:52-42:54] Павел Кочкин:  Вот этот цвет фарка человек, где я рулю.
[42:54-42:56] Павел Кочкин:  И при этом обрати внимание, что происходит.
[42:55-42:59] Павел Кочкин:  Едешь по дороге, и вдруг дерево такое падает тебе и перекрывает всю дорогу.
[43:01-43:03] Павел Кочкин:  Ну ты такой плечами пожимал.
[43:03-43:10] Павел Кочкин:  И теперь обрати внимание, заднее по передаче этой недвижимости назад.
[43:09-43:16] Павел Кочкин:  А вперед, к цели, парни, девчонки, успеваете сейчас расшифровывать?
[43:16-43:17] Павел Кочкин:  Да, я вам говорю на метафрах.
[43:19-43:22] Павел Кочкин:  Антон, понятно о чем речь? Да, да.
[43:23-43:27] Павел Кочкин:  Дерево это уже и задняя передача, это решение задачи. Молодец.
[43:28-43:31] Павел Кочкин:  И не важно, какие два вообще что там происходит.
[43:31-43:35] Павел Кочкин:  Более того, у тебя на этом пути до Питера счет еще раз что-нибудь случится.
[43:35-43:45] Павел Кочкин:  Еще какие-нибудь ремонты, еще работы будут по пути, еще где-нибудь баг там, я не знаю, надо будет заправлять, еще кто-нибудь топить захочет, писать понос золотуха, да тебя ждет миллион разных деталей.
[43:45-43:54] Павел Кочкин:  Как их планировать в этом современном мире То, что вчера работало, сегодня выкинуть можно полностью целилком вообще.
[43:54-43:59] Павел Кочкин:  То дерево упадет, и тут дождь какой-то пошел, то там блесобленно крутилось.
[43:59-44:02] Павел Кочкин:  Да дохрена вся все будет, что делать будет?
[44:01-44:05] Павел Кочкин:  Две контрольные точки в Гарварде рекомендуются постоянно контролировать.
[44:06-44:08] Павел Кочкин:  Адрес в навигаторе.
[44:08-44:09] Павел Кочкин:  Постоянно пить и проверяйте.
[44:10-44:11] Павел Кочкин:  Мне Питер все еще надо.
[44:11-44:13] Павел Кочкин:  Да, да, да, точно надо. Едем.
[44:14-44:22] Павел Кочкин:  Что я делал каждое утро на протяжении месяцев, когда у меня вот свод, январь начинается, и я хочу убедиться, что я очень точно вижу картину в будущем.
[44:22-44:37] Павел Кочкин:  своего я постоянно рисую только один объект нашли его кочено и убеждаюсь что где-то награда стоит того и за нее будут топить люблыми путями другие награды менее интересны а вот за эту Слой можно будет тело, тут дорого, дешево один хрен. Мне туда.
[44:37-44:39] Павел Кочкин:  Мне другое, гоня-то менее интересно.
[44:39-44:41] Павел Кочкин:  Ради вот этого готов ты допить, рисковать, а делать все.
[44:41-44:44] Павел Кочкин:  А вот здесь что-то, блин, меня вообще не вставляешь.
[44:44-44:46] Павел Кочкин:  Я там 10 раз перепродъряю эту точку пря.
[44:46-44:48] Павел Кочкин:  Отвлекаюсь и опять перепроверяю.
[44:48-44:50] Павел Кочкин:  Отвлекаюсь и опять перенастраиваюсь.
[44:50-44:53] Павел Кочкин:  Я хочу убедиться.
[44:51-44:55] Павел Кочкин:  что у меня эта точка В, вот этот адрес, куда я еду, очень достойная, вкусная награда.
[44:55-44:57] Павел Кочкин:  В целе вызывает реакции.
[44:57-44:58] Павел Кочкин:  Я с женой согласовал.
[44:58-45:00] Павел Кочкин:  Мне нравится видеть счастливую жену реакцион.
[45:00-45:07] Павел Кочкин:  Я как бы все вокруг пересобрал на себя, посмотрел и понимаю, блин, не знаю, как другим людям, а я идет туда.
[45:07-45:09] Павел Кочкин:  И я такой прорисовал себе конечный адрес.
[45:09-45:17] Павел Кочкин:  Все, как я туда попаду, что я буду делать через неделю, через месяц, через пол, полгода, через год, все время перепроверяю конечный адрес.
[45:17-45:26] Павел Кочкин:  На этом не экономлю, а одну точку перепроверяю Никаких промежуточных, никаких контрольных, ничего в середине.
[45:27-45:31] Павел Кочкин:  Как только я перепроверил колесой адрес, я иду во вторую точку.
[45:32-45:33] Павел Кочкин:  Она звучит так.
[45:33-45:45] Павел Кочкин:  что конкретно сегодня лучшее решение самые простые понятные действия которые я могу сделать для того чтобы прошло на шаг в плане Если у меня дерево на дороге, какие у меня варианты?
